from,to,year,value
Uzbekistan,Kazakhstan,2022,9571
Tajikistan,Kazakhstan,2022,361
Turkmenistan,Kazakhstan,2022,1373
Azerbaijan,Kazakhstan,2022,116
Kyrgyzstan,Kazakhstan,2022,597
Russian Federation,Kazakhstan,2022,1275
India,Kazakhstan,2022,7192
Pakistan,Kazakhstan,2022,1441
Mongolia,Kazakhstan,2022,1169
China,Kazakhstan,2022,1075
Afghanistan,Kazakhstan,2022,454
Jordan,Kazakhstan,2022,392
Republic of Korea,Kazakhstan,2022,46
Belarus,Kazakhstan,2022,12
Armenia,Kazakhstan,2022,16
Uzbekistan,Kazakhstan,2021,13550
Tajikistan,Kazakhstan,2021,318
Turkmenistan,Kazakhstan,2021,2525
Azerbaijan,Kazakhstan,2021,
Kyrgyzstan,Kazakhstan,2021,716
Russian Federation,Kazakhstan,2021,1188
India,Kazakhstan,2021,5716
Pakistan,Kazakhstan,2021,467
Mongolia,Kazakhstan,2021,1118
China,Kazakhstan,2021,1201
Afghanistan,Kazakhstan,2021,353
Jordan,Kazakhstan,2021,583
Republic of Korea,Kazakhstan,2021,
Belarus,Kazakhstan,2021,
Armenia,Kazakhstan,2021,
