Place of Origin,unesco,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,Afghanistan,75,92,102,109,155,175,268,338,407,426,429,371,449,450,471,498,506,476,418,422,354,420,682,702
Albania,Albania,1118,1129,1106,916,866,904,841,689,757,790,697,659,649,636,670,705,781,884,993,1095,1053,1026,1087,1187
Algeria,Algeria,220,196,177,148,143,132,145,179,172,178,158,177,176,173,175,158,192,212,238,239,219,268,302,364
Andorra,Andorra,5,8,11,9,11,6,3,9,12,11,14,24,13,9,9,11,16,14,17,11,16,18,20,22
Angola,Angola,348,360,432,442,431,415,442,503,544,615,699,779,812,985,1184,1296,1257,1183,1014,814,673,541,553,511
Anguilla,Anguilla,65,46,46,62,61,44,49,93,71,65,43,29,15,21,15,18,14,15,19,19,19,18,15,8
Antigua and Barbuda,Antigua and Barbuda,271,239,215,240,204,226,203,174,189,213,193,183,188,215,120,228,225,200,164,193,186,159,168,183
Argentina,Argentina,3172,3444,3644,3644,3363,3032,2813,2535,2380,2165,2105,1888,1847,1902,2053,2201,2219,2283,2407,2428,2184,2718,2979,3101
Armenia,Armenia,366,439,390,412,410,408,427,403,401,374,350,363,345,272,304,270,280,313,328,339,318,366,457,497
Aruba,Aruba,85,64,55,60,70,91,90,68,124,72,94,67,69,74,68,89,73,90,71,73,74,65,58,58
Australia,Australia,2645,2707,2777,2706,2659,2806,2797,3088,3203,3296,3777,3848,4121,4377,4511,4752,4933,4908,4930,4982,3623,3892,4504,4432
Austria,Austria,1062,1079,1060,899,885,843,843,886,909,994,1019,989,1036,1062,1114,1141,1111,1148,1098,1105,655,977,1054,1017
Azerbaijan,Azerbaijan,253,277,277,238,252,337,286,318,364,409,440,460,388,383,408,391,386,426,489,571,556,728,901,1130
Bahamas,Bahamas,1762,1973,2012,2030,1638,1631,1681,1542,1773,1828,1720,1737,1629,1744,1835,2027,2252,2176,2148,2500,2342,2387,2606,2513
Bahrain,Bahrain,562,601,451,444,377,373,392,394,431,415,409,438,459,467,474,469,475,451,422,406,362,387,371,335
Bangladesh,Bangladesh,4114,3935,3596,3198,2758,2581,2410,2305,2706,2619,2873,3314,3828,4802,5455,6513,7143,7496,8249,8838,8598,10597,13563,17099
Barbados,Barbados,647,580,590,569,494,467,440,403,452,360,332,267,293,285,278,319,319,322,333,298,339,269,287,282
Belarus,Belarus,311,411,417,422,431,458,496,457,443,408,347,358,355,306,330,323,319,351,378,388,356,357,382,389
Belgium,Belgium,881,884,847,823,743,754,703,812,858,845,904,880,894,948,1001,1094,1087,1080,1073,1055,756,988,1044,1037
Belize,Belize,489,542,489,501,449,462,454,490,468,415,388,370,333,324,312,308,356,366,375,388,352,388,370,416
Benin,Benin,145,153,171,168,180,217,253,319,328,342,289,313,318,291,287,259,248,234,246,234,210,201,246,260
Bermuda,Bermuda,609,525,714,633,494,497,476,421,410,429,395,389,406,388,387,319,315,296,280,251,234,235,228,237
Bhutan,Bhutan,62,78,68,63,70,77,83,96,109,126,115,100,133,127,128,143,148,152,146,154,116,143,188,184
Bolivia,Bolivia (Plurinational State of),897,953,1051,1004,1008,995,993,964,1067,1039,977,1025,1024,1068,1116,1142,1207,1153,1195,1199,1124,1285,1332,1357
Bosnia and Herzegovina,Bosnia and Herzegovina,477,511,528,433,359,369,413,409,409,404,356,341,364,319,296,309,303,290,300,287,261,257,236,247
Botswana,Botswana,941,1004,688,488,338,284,227,236,298,212,229,175,216,228,257,246,296,233,214,246,218,231,256,273
Brazil,Brazil,8846,8972,8388,7799,7244,7009,7126,7578,8767,8786,8777,9029,10868,13286,23675,19370,13089,14620,16059,16671,14000,14897,16025,16877
British Virgin Islands,British Virgin Islands,84,97,113,145,187,188,138,93,96,122,94,116,112,80,99,95,76,70,81,81,45,35,82,45
Brunei,Brunei Darussalam,25,27,17,13,18,12,24,34,39,43,66,69,61,60,73,59,53,53,50,54,37,42,41,33
Bulgaria,Bulgaria,3270,3584,3725,3734,3644,3633,3478,3205,2889,2495,1957,1694,1473,1252,1171,1016,929,826,757,690,585,532,546,576
Burkina Faso,Burkina Faso,112,135,162,191,277,339,423,514,568,680,626,631,627,526,567,540,533,567,514,483,420,367,372,299
Burma,Myanmar,673,875,870,691,651,650,625,604,667,695,796,807,955,1042,1067,1194,1351,1569,1773,1828,1698,1909,2483,3222
Burundi,Burundi,55,75,66,80,82,78,85,87,85,113,123,103,124,122,165,148,180,134,141,164,149,157,194,199
Cabo Verde,Cabo Verde,59,57,79,52,40,40,76,43,100,42,55,87,81,69,64,102,80,67,52,61,63,44,47,51
Cambodia,Cambodia,187,247,329,330,333,364,329,369,353,347,340,333,393,432,492,499,512,659,685,742,848,875,1060,997
Cameroon,Cameroon,870,967,1171,1216,1364,1582,1799,1891,1826,1881,1659,1530,1472,1285,1212,1210,1334,1382,1188,1027,930,927,1086,981
Canada,Canada,25279,26514,26513,27017,28140,28202,28280,29051,29697,28145,27546,26821,27357,28304,27240,26973,27065,25909,26122,25992,25143,27013,27876,28998
Cayman Islands,Cayman Islands,243,211,203,191,168,223,210,161,164,158,165,181,175,187,174,165,165,169,159,136,120,111,145,157
Central African Republic,Central African Republic,18,12,23,40,32,34,47,47,42,32,29,28,28,11,13,13,15,14,17,12,13,11,11,20
Chad,Chad,51,60,90,95,75,73,120,127,138,96,99,84,89,81,61,52,66,75,65,51,52,61,67,66
Chile,Chile,1553,1655,1723,1612,1559,1550,1570,1685,1953,2055,2164,2203,2349,2432,2513,2630,2523,2528,2699,2483,2227,2750,3007,3113
China,China,59939,63211,64757,61765,62523,62582,67723,81127,98235,127628,157558,194029,235597,274439,304040,328547,350755,363341,369548,372532,317299,290086,289526,277398
Colombia,Colombia,6765,8068,7771,7533,7334,6835,6750,6662,7013,6920,6456,6295,6543,7083,7169,7815,7982,7976,8060,7787,7107,8077,9096,10120
Comoros,Comoros,38,44,31,22,23,29,39,42,23,50,23,9,19,27,32,32,10,12,18,40,23,21,23,56
"Congo, Dem. Rep. of the (Kinshasa)",Democratic Republic of the Congo,411,422,429,340,323,308,271,282,247,249,252,320,386,571,755,949,1137,1123,1164,1198,1125,1266,1660,1738
"Congo, Republic of the (Brazzaville)",Congo,0,8,3,9,23,86,143,150,208,229,240,249,309,282,288,337,268,298,284,255,280,190,199,180
Cook Islands,Cook Islands,4,4,5,3,3,12,3,5,1,9,4,6,7,5,2,5,0,5,17,0,8,4,2,11
Costa Rica,Costa Rica,928,966,951,907,895,896,939,927,1027,1089,1105,1078,1074,1067,1118,1148,1148,1146,1157,1240,1134,1315,1357,1431
Côte d’Ivoire,Côte d'Ivoire,637,707,675,636,622,656,657,711,806,867,904,955,980,1116,1227,1229,1353,1349,1392,1257,1115,1034,1072,1138
Croatia,Croatia,782,802,735,660,675,639,629,602,617,623,583,552,581,529,523,527,537,528,516,472,393,392,408,390
Cuba,Cuba,517,163,141,132,190,119,99,82,84,88,62,57,76,69,94,153,119,152,163,130,115,114,113,117
Curacao,Curaçao,,,,,,,,,,,,,4,76,75,117,118,128,122,136,74,76,54,50
Cyprus,Cyprus,2217,2027,1834,1562,1326,1111,877,782,696,586,470,438,425,419,417,401,388,410,431,432,374,413,413,409
Czech Republic,Czechia,1112,1152,1180,1052,902,927,914,922,925,828,765,701,776,736,796,749,772,763,820,763,609,732,787,803
"Czechoslovakia, Former",#Н/Д,39,11,0,7,81,36,,,,,,,,,,,,,,,,,,
Denmark,Denmark,1007,922,901,859,887,900,963,898,999,989,1149,1233,1359,1470,1602,1486,1490,1423,1423,1264,608,1091,1393,1329
Djibouti,Djibouti,8,8,5,2,5,15,14,5,13,3,11,8,13,7,7,9,10,9,9,6,6,6,10,9
Dominica,Dominica,258,232,288,232,319,376,327,228,285,301,256,261,237,191,166,238,271,371,227,576,583,514,459,406
